epoch,accuracy,loss,top2_accuracy,val_accuracy,val_loss,val_top2_accuracy,learning_rate,epoch_seconds,stage_seconds,pipeline_seconds
12,0.8893932104110718,0.36669203639030457,0.9504697918891907,0.917502760887146,0.27919629216194153,0.9635823369026184,9.999999747378752e-05,77.42983875100003,1041.397588681,1042.061654038
13,0.8898710012435913,0.35615748167037964,0.9492753744125366,0.9189892411231995,0.2821214497089386,0.9617242813110352,9.999999747378752e-05,74.225161609,1115.627856643,1116.2919222239998
14,0.8964803218841553,0.3473210334777832,0.9526994824409485,0.9208472967147827,0.26464515924453735,0.9654403328895569,9.999999747378752e-05,76.30807184499986,1191.940347797,1192.6044129359998
15,0.8941710591316223,0.3431476652622223,0.9536550641059875,0.9223337173461914,0.26808708906173706,0.9643255472183228,9.999999747378752e-05,75.12453084000003,1267.069646985,1267.7337125
16,0.8971173763275146,0.3364165723323822,0.9527791142463684,0.9208472967147827,0.2654050290584564,0.9646971225738525,9.999999747378752e-05,76.52293936299998,1343.597863854,1344.2619292169998
17,0.901019275188446,0.32576045393943787,0.9547698497772217,0.930509090423584,0.24857580661773682,0.9687848091125488,9.999999747378752e-05,78.23362442799998,1421.836184198,1422.500249627
18,0.9048415422439575,0.307681679725647,0.9593884348869324,0.9267930388450623,0.25886058807373047,0.9669268131256104,9.999999747378752e-05,77.35954935300015,1499.200851661,1499.864917211
19,0.9073897004127502,0.30354103446006775,0.960742175579071,0.9275362491607666,0.2489214390516281,0.9680415987968445,9.999999747378752e-05,76.15739737499962,1575.362924389,1576.026989906
20,0.9045230150222778,0.3013470470905304,0.9595476984977722,0.9297658801078796,0.2550390362739563,0.9665551781654358,9.999999747378752e-05,77.04781301000003,1652.416055782,1653.080121203
21,0.9139193892478943,0.2853250503540039,0.9612995982170105,0.927164614200592,0.24432100355625153,0.9706428647041321,9.999999747378752e-05,78.44130613899961,1730.862559586,1731.526624599
22,0.9079471230506897,0.28903278708457947,0.9628125429153442,0.9327387809753418,0.23974262177944183,0.9713860750198364,9.999999747378752e-05,78.19167543399999,1809.059418649,1809.723484004
23,0.9102563858032227,0.2843886911869049,0.9640070199966431,0.9331103563308716,0.2421056479215622,0.9676700234413147,9.999999747378752e-05,75.82067811199977,1884.884856216,1885.548921534
24,0.9134416580200195,0.2792547941207886,0.9636884927749634,0.9327387809753418,0.24409279227256775,0.9687848091125488,9.999999747378752e-05,75.05748867399961,1959.946827239,1960.610892789
25,0.9155120253562927,0.2708633840084076,0.9640070199966431,0.9338535666465759,0.2298251986503601,0.9728725552558899,9.999999747378752e-05,79.15723982899999,2039.109632418,2039.773697733
26,0.9147953391075134,0.26555320620536804,0.9651218056678772,0.9334819912910461,0.23530876636505127,0.9713860750198364,9.999999747378752e-05,74.75277755399975,2113.867331305,2114.531396756
27,0.9167861342430115,0.2676553428173065,0.9640070199966431,0.937941312789917,0.22862903773784637,0.9691564440727234,9.999999747378752e-05,79.52247564700019,2193.395153513,2194.059219012
28,0.9160694479942322,0.26166027784347534,0.9664755463600159,0.9327387809753418,0.23366211354732513,0.969528079032898,9.999999747378752e-05,76.09887150400027,2269.499196782,2270.163262207
29,0.9166268706321716,0.26058781147003174,0.966395914554596,0.9383128881454468,0.22653049230575562,0.9691564440727234,9.999999747378752e-05,76.86382511900001,2346.368558634,2347.0326238380003
30,0.9230769276618958,0.24696318805217743,0.9692625999450684,0.9360832571983337,0.22731317579746246,0.9713860750198364,9.999999747378752e-05,75.99865157600016,2422.372326366,2423.036391832
31,0.9206880331039429,0.24309535324573517,0.9699792861938477,0.9342252016067505,0.2329351305961609,0.9691564440727234,9.999999747378752e-05,78.9954588569999,2501.372181776,2502.036247273
32,0.9209269285202026,0.2502444386482239,0.9667144417762756,0.9334819912910461,0.23185762763023376,0.969528079032898,9.999999747378752e-05,74.7518143719999,2576.12838837,2576.792453939
33,0.920608401298523,0.2508610486984253,0.9680681824684143,0.9349684119224548,0.22839750349521637,0.9732441306114197,9.999999747378752e-05,75.4180886590002,2651.551372562,2652.215437883
34,0.9237139821052551,0.243966206908226,0.9704570770263672,0.9323671460151672,0.22602708637714386,0.9728725552558899,9.999999747378752e-05,77.25763264800025,2728.814496717,2729.478561561
35,0.9224398732185364,0.24116671085357666,0.9724478125572205,0.9360832571983337,0.22142885625362396,0.9732441306114197,9.999999747378752e-05,79.06561583899975,2807.88516929,2808.549234672
