epoch,accuracy,loss,top2_accuracy,val_accuracy,val_loss,val_top2_accuracy,learning_rate,epoch_seconds,stage_seconds,pipeline_seconds
14,0.9800127148628235,0.05743958055973053,0.9962573647499084,0.9606094360351562,0.18941015005111694,0.9810479283332825,9.999999974752427e-07,192.60791842599792,2785.4491228119987,18360.000616248
15,0.9804108738899231,0.057589489966630936,0.9958592057228088,0.9602378010749817,0.1919855922460556,0.9799330830574036,9.999999974752427e-07,187.55818672500027,2973.0120537779985,18547.563547326
16,0.9809682965278625,0.05737718194723129,0.9965758919715881,0.9591230154037476,0.19256648421287537,0.9803047180175781,9.999999974752427e-07,187.71419237499867,3160.731100416,18735.282593988
17,0.9808886647224426,0.05375007167458534,0.9968944191932678,0.9594945907592773,0.19450202584266663,0.9806763529777527,9.999999974752427e-07,187.81335852600023,3348.5495242319994,18923.101017653
18,0.9821627736091614,0.05078480765223503,0.9969740509986877,0.9606094360351562,0.19282212853431702,0.9810479283332825,9.999999974752427e-07,187.91832715799683,3536.473217783001,19111.024711487
19,0.9822424054145813,0.051209576427936554,0.9964962601661682,0.9609810709953308,0.1917092651128769,0.981419563293457,9.999999974752427e-07,190.9493007159981,3727.426779764999,19301.978273281
20,0.9836757183074951,0.04601862654089928,0.9964166283607483,0.9609810709953308,0.1940802037715912,0.981419563293457,9.999999974752427e-07,187.83765251300065,3915.268614419001,19489.820107867
21,0.9834368824958801,0.05041636899113655,0.9970536828041077,0.9606094360351562,0.19803011417388916,0.9810479283332825,9.999999974752427e-07,187.92031754500204,4103.194588802999,19677.746082293
22,0.9818442463874817,0.05124615877866745,0.9964166283607483,0.9602378010749817,0.19633132219314575,0.981419563293457,9.999999974752427e-07,188.2249814520001,4291.423889502999,19865.975382992
23,0.9819238781929016,0.050879091024398804,0.9971333146095276,0.9598662257194519,0.1944899708032608,0.981419563293457,9.999999974752427e-07,188.10791214900016,4479.536202726002,20054.087696098
24,0.9813664555549622,0.05293318256735802,0.9964166283607483,0.9613526463508606,0.19131207466125488,0.981419563293457,9.999999974752427e-07,188.30895938400133,4667.849435269,20242.400928777
25,0.9830387234687805,0.04569322615861893,0.9973722100257874,0.9609810709953308,0.1914554238319397,0.9810479283332825,9.999999974752427e-07,188.63256210300096,4856.487484161,20431.03897773
26,0.983755350112915,0.04733804240822792,0.9976111054420471,0.9602378010749817,0.19144026935100555,0.981419563293457,9.999999974752427e-07,188.37083575799988,5044.863039208001,20619.414532674
27,0.9824016690254211,0.048758942633867264,0.9965758919715881,0.9609810709953308,0.1934947371482849,0.9817911386489868,9.999999974752427e-07,188.08844217800288,5232.957088805,20807.508582398
28,0.9843127727508545,0.04238704964518547,0.9980092644691467,0.9609810709953308,0.19273972511291504,0.9810479283332825,9.999999974752427e-07,188.06792264100292,5421.029953425001,20995.581446917
29,0.9851090908050537,0.042831744998693466,0.997690737247467,0.9620958566665649,0.19263611733913422,0.9821627736091614,9.999999974752427e-07,188.58749544199964,5609.621829396001,21184.173322681
30,0.9850294589996338,0.04524895176291466,0.9970536828041077,0.9613526463508606,0.193191260099411,0.9817911386489868,9.999999974752427e-07,188.2400008270015,5797.867674796999,21372.4191682
31,0.9844720363616943,0.045212727040052414,0.9972129464149475,0.9624674916267395,0.1910218447446823,0.9817911386489868,9.999999974752427e-07,188.11755567499856,5985.989727338001,21560.541220792
32,0.9843924045562744,0.04341033473610878,0.9972129464149475,0.9617242813110352,0.19453099370002747,0.9817911386489868,9.999999974752427e-07,187.8261633850016,6173.820126766001,21748.371620237
33,0.9847109317779541,0.04258044436573982,0.9980092644691467,0.9624674916267395,0.1919371783733368,0.9817911386489868,9.999999974752427e-07,188.04858631000025,6361.873231357,21936.424724866
34,0.9863831996917725,0.03959590196609497,0.9976111054420471,0.9624674916267395,0.1935575157403946,0.9821627736091614,2.0000000233721948e-07,188.05465779099904,6549.933306002,22124.484799475
